import time: self [us] | cumulative | imported package
import time:       282 |       7805 |                               prompt_toolkit.layout
import time:        52 |       7856 |                             prompt_toolkit.layout.controls
import time:       182 |        182 |                             prompt_toolkit.key_binding.bindings.completion
import time:       633 |       8670 |                           prompt_toolkit.key_binding.bindings.named_commands
import time:       178 |       8848 |                         prompt_toolkit.key_binding.bindings.basic
import time:       134 |        134 |                         prompt_toolkit.key_binding.bindings.cpr
import time:       300 |        300 |                         prompt_toolkit.key_binding.bindings.emacs
import time:       221 |        221 |                         prompt_toolkit.key_binding.bindings.mouse
import time:       282 |        282 |                             prompt_toolkit.input.ansi_escape_sequences
import time:       655 |        937 |                           prompt_toolkit.input.vt100_parser
import time:       579 |        579 |                           prompt_toolkit.key_binding.digraphs
import time:      1016 |       2531 |                         prompt_toolkit.key_binding.bindings.vi
import time:       154 |      12185 |                       prompt_toolkit.key_binding.defaults
import time:       199 |        199 |                       prompt_toolkit.key_binding.emacs_state
import time:       131 |        131 |                       prompt_toolkit.layout.dummy
import time:       508 |        508 |                       prompt_toolkit.renderer
import time:       793 |      42890 |                     prompt_toolkit.application.application
import time:       227 |        227 |                     prompt_toolkit.application.dummy
import time:       259 |      43375 |                   prompt_toolkit.application
import time:       457 |        457 |                           prompt_toolkit.widgets.toolbars
import time:       698 |       1154 |                         prompt_toolkit.widgets.base
import time:       118 |        118 |                           prompt_toolkit.key_binding.bindings.focus
import time:       200 |        317 |                         prompt_toolkit.widgets.dialogs
import time:       263 |        263 |                         prompt_toolkit.widgets.menus
import time:       154 |       1888 |                       prompt_toolkit.widgets
import time:       284 |       2171 |                     prompt_toolkit.shortcuts.choice_input
import time:       224 |        224 |                     prompt_toolkit.shortcuts.dialogs
import time:       174 |        174 |                             xml.parsers
import time:       165 |        165 |                               pyexpat
import time:       169 |        334 |                             xml.parsers.expat
import time:       597 |       1104 |                           xml.dom.expatbuilder
import time:      1129 |       2232 |                         prompt_toolkit.shortcuts.progress_bar.formatters
import time:       430 |       2662 |                       prompt_toolkit.shortcuts.progress_bar.base
import time:       162 |       2823 |                     prompt_toolkit.shortcuts.progress_bar
import time:       154 |        154 |                       prompt_toolkit.key_binding.bindings.auto_suggest
import time:       154 |        154 |                       prompt_toolkit.key_binding.bindings.open_in_editor
import time:       907 |       1214 |                     prompt_toolkit.shortcuts.prompt
import time:       211 |        211 |                     prompt_toolkit.shortcuts.utils
import time:       189 |       6829 |                   prompt_toolkit.shortcuts
import time:       636 |        636 |                     email.feedparser
import time:       232 |        868 |                   email.parser
import time:      2547 |      53617 |                 prompt_toolkit
import time:        34 |      53651 |               prompt_toolkit.auto_suggest
import time:       255 |        255 |               prompt_toolkit.patch_stdout
import time:        86 |         86 |                   unicodedata
import time:       107 |        107 |                     _uuid
import time:       502 |        608 |                   uuid
import time:      4107 |       4107 |                   IPython.core.guarded_eval
import time:       786 |        786 |                   IPython.core.latex_symbols
import time:       161 |        161 |                   IPython.utils.generics
import time:       541 |        541 |                             parso.utils
import time:       439 |        979 |                           parso.tree
import time:        94 |         94 |                                     parso.python
import time:       880 |        880 |                                     parso.python.token
import time:      2528 |       3500 |                                   parso.python.tokenize
import time:       229 |       3729 |                                 parso.pgen2.grammar_parser
import time:       422 |       4150 |                               parso.pgen2.generator
import time:       129 |       4279 |                             parso.pgen2
import time:        29 |       4307 |                           parso.pgen2.generator
import time:       537 |       5822 |                         parso.parser
import time:       125 |        125 |                           parso._compatibility
import time:      1751 |       1751 |                             difflib
import time:       603 |        603 |                                 parso.python.prefix
import time:      1522 |       2125 |                               parso.python.tree
import time:       255 |       2380 |                             parso.python.parser
import time:       521 |       4651 |                           parso.python.diff
import time:        89 |         89 |                             gc
import time:       352 |        440 |                           parso.cache
import time:       494 |        494 |                             parso.normalizer
import time:       955 |       1448 |                           parso.python.errors
import time:       522 |        522 |                           parso.python.pep8
import time:       197 |        197 |                           parso.file_io
import time:       475 |       7854 |                         parso.grammar
import time:       170 |      13845 |                       parso
import time:       360 |        360 |                       jedi.parser_utils
import time:        75 |         75 |                         colorama
import time:       280 |        354 |                       jedi.debug
import time:       151 |        151 |                       jedi.settings
import time:       232 |        232 |                       jedi.cache
import time:       268 |        268 |                       jedi.file_io
import time:       173 |        173 |                                 jedi.inference.cache
import time:       252 |        252 |                                   jedi.inference.helpers
import time:       382 |        382 |                                   jedi.inference.utils
import time:       526 |       1159 |                                 jedi.inference.base_value
import time:       331 |       1663 |                               jedi.inference.sys_path
import time:       190 |        190 |                                       jedi.inference.recursion
import time:       313 |        503 |                                     jedi.inference.flow_analysis
import time:       189 |        189 |                                           jedi.common
import time:       242 |        430 |                                         jedi.inference.lazy_value
import time:       436 |        866 |                                       jedi.inference.docstrings
import time:       156 |        156 |                                       jedi.plugins
import time:       879 |       1900 |                                     jedi.inference.names
import time:       866 |       3268 |                                   jedi.inference.filters
import time:       233 |        233 |                                     jedi.inference.compiled.getattr_static
import time:       848 |       1081 |                                   jedi.inference.compiled.access
import time:       387 |        387 |                                   jedi.inference.signature
import time:       541 |        541 |                                   jedi.inference.context
import time:       724 |       5999 |                                 jedi.inference.compiled.value
import time:       227 |       6225 |                               jedi.inference.compiled
import time:       255 |        255 |                               jedi.inference.analysis
import time:       111 |        111 |                                 jedi.inference.gradual
import time:       402 |        402 |                                       jedi.inference.value.module
import time:       401 |        401 |                                             jedi.inference.value.dynamic_arrays
import time:       959 |       1360 |                                           jedi.inference.value.iterable
import time:       400 |       1760 |                                         jedi.inference.arguments
import time:       112 |        112 |                                           jedi.inference.parser_cache
import time:       208 |        208 |                                           jedi.inference.gradual.generics
import time:       637 |        956 |                                         jedi.inference.value.function
import time:       648 |       3362 |                                       jedi.inference.value.klass
import time:       936 |        936 |                                       jedi.inference.value.instance
import time:       324 |       5022 |                                     jedi.inference.value
import time:        35 |       5057 |                                   jedi.inference.value.module
import time:       759 |        759 |                                     jedi.inference.gradual.base
import time:       403 |        403 |                                     jedi.inference.gradual.type_var
import time:       679 |       1840 |                                   jedi.inference.gradual.typing
import time:       466 |       7362 |                                 jedi.inference.gradual.stub_value
import time:       492 |       7964 |                               jedi.inference.gradual.typeshed
import time:       132 |        132 |                                   jedi._compatibility
import time:       276 |        276 |                                   jedi.inference.compiled.subprocess.functions
import time:       168 |        168 |                                   jedi.api.exceptions
import time:      1155 |       1730 |                                 jedi.inference.compiled.subprocess
import time:        56 |       1786 |                               jedi.inference.compiled.subprocess.functions
import time:       566 |      18455 |                             jedi.inference.imports
import time:       246 |        246 |                                 jedi.inference.param
import time:       247 |        493 |                               jedi.inference.gradual.annotation
